## Mon May 15 12:40:07 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_p4o9b3xj --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_p4o9b3xj --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_p4o9b3xj/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
22_t	90675.XP_010514097.1	4.93e-15	77.4	28PWY@1|root,2QWJJ@2759|Eukaryota,37NQA@33090|Viridiplantae,3G852@35493|Streptophyta	35493|Streptophyta	S	transposon protein	-	-	-	-	-	-	-	-	-	-	-	-	DUF4216,DUF4218,Transpos_assoc,Transposase_21
24_t	3641.EOY20519	0.0	910.0	COG0277@1|root,2QVGN@2759|Eukaryota,37PI8@33090|Viridiplantae,3GDEB@35493|Streptophyta	35493|Streptophyta	C	Belongs to the oxygen-dependent FAD-linked oxidoreductase family	-	-	1.1.1.195	ko:K22395	ko00940,ko01100,ko01110,map00940,map01100,map01110	-	R02593,R03918,R06570,R07437	RC00649	ko00000,ko00001,ko01000	-	-	-	BBE,FAD_binding_4
25_t	3641.EOY21534	0.0	2050.0	KOG0667@1|root,KOG0667@2759|Eukaryota,37HW0@33090|Viridiplantae,3GDEN@35493|Streptophyta	35493|Streptophyta	T	Its function is described as protein serine threonine kinase activity, protein kinase activity, kinase activity, ATP binding	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	-	-	-	-	-	-	-	-	-	-	Pkinase
27_t	29730.Gorai.005G134900.1	0.0	1199.0	KOG1972@1|root,KOG1972@2759|Eukaryota,37N0M@33090|Viridiplantae,3GD6K@35493|Streptophyta	35493|Streptophyta	S	Protein NRDE2 homolog	-	-	-	-	-	-	-	-	-	-	-	-	NRDE-2
28_t	3649.evm.model.supercontig_5.346	4.02e-30	118.0	COG2801@1|root,KOG0017@2759|Eukaryota,37SCF@33090|Viridiplantae,3GAWJ@35493|Streptophyta	35493|Streptophyta	O	transposition, RNA-mediated	-	-	-	-	-	-	-	-	-	-	-	-	Retrotran_gag_2,Retrotran_gag_3,Retrotrans_gag,gag_pre-integrs,zf-CCHC
29_t	3641.EOY21547	3.22e-209	612.0	KOG1972@1|root,KOG1972@2759|Eukaryota,37N0M@33090|Viridiplantae,3GD6K@35493|Streptophyta	35493|Streptophyta	S	Protein NRDE2 homolog	-	-	-	-	-	-	-	-	-	-	-	-	NRDE-2
30_t	3641.EOY32244	2.54e-64	202.0	2EZ00@1|root,2T0E6@2759|Eukaryota,381P3@33090|Viridiplantae,3GRN3@35493|Streptophyta	35493|Streptophyta	S	Belongs to the Casparian strip membrane proteins (CASP) family	-	-	-	-	-	-	-	-	-	-	-	-	DUF588
32_t	3983.cassava4.1_005866m	1.57e-43	159.0	KOG1339@1|root,KOG1339@2759|Eukaryota,37K8V@33090|Viridiplantae,3G8Z4@35493|Streptophyta,4JKVE@91835|fabids	35493|Streptophyta	O	Belongs to the peptidase A1 family	-	GO:0003674,GO:0003824,GO:0004175,GO:0004190,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005829,GO:0005911,GO:0006508,GO:0006807,GO:0006950,GO:0006970,GO:0008150,GO:0008152,GO:0008233,GO:0009056,GO:0009057,GO:0009506,GO:0009628,GO:0009651,GO:0009719,GO:0009725,GO:0009735,GO:0010033,GO:0010035,GO:0010038,GO:0016787,GO:0019538,GO:0030054,GO:0030163,GO:0042221,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0046686,GO:0050896,GO:0055044,GO:0070001,GO:0070011,GO:0071704,GO:0140096,GO:1901564,GO:1901565,GO:1901575	3.4.23.40,3.4.23.5	ko:K01379,ko:K08245	ko04071,ko04140,ko04142,ko04210,ko04915,ko05152,map04071,map04140,map04142,map04210,map04915,map05152	-	-	-	ko00000,ko00001,ko01000,ko01002,ko04147	-	-	-	Asp,SapB_1,SapB_2
36_t	3656.XP_008456442.1	1.62e-21	93.6	COG2801@1|root,KOG0017@2759|Eukaryota,37R6P@33090|Viridiplantae,3G8BW@35493|Streptophyta,4JN0G@91835|fabids	35493|Streptophyta	L	Uncharacterized protein K02A2.6-like	-	-	-	-	-	-	-	-	-	-	-	-	G-patch,RVT_1,RVT_3,Retrotrans_gag,rve
38_t	3641.EOX92527	1.05e-08	60.8	KOG1075@1|root,KOG1075@2759|Eukaryota	2759|Eukaryota	E	Ribonuclease H protein	-	-	6.3.1.2	ko:K01915	ko00220,ko00250,ko00630,ko00910,ko01100,ko01120,ko01230,ko02020,ko04217,ko04724,ko04727,map00220,map00250,map00630,map00910,map01100,map01120,map01230,map02020,map04217,map04724,map04727	-	R00253	RC00010,RC02798	ko00000,ko00001,ko01000,ko04147	-	-	-	RVT_1,RVT_3
40_t	3641.EOY20700	1.1e-45	158.0	COG0515@1|root,KOG0192@2759|Eukaryota,37KRB@33090|Viridiplantae,3G893@35493|Streptophyta	35493|Streptophyta	T	serine threonine-protein kinase	-	GO:0003674,GO:0003824,GO:0004672,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019538,GO:0023052,GO:0035556,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0071704,GO:0140096,GO:1901564	-	-	-	-	-	-	-	-	-	-	Pkinase_Tyr
42_t	3641.EOY20701	0.0	1225.0	COG0457@1|root,KOG1840@2759|Eukaryota,37N3V@33090|Viridiplantae,3G7X4@35493|Streptophyta	35493|Streptophyta	Z	kinesin light chain	-	GO:0001655,GO:0001822,GO:0001889,GO:0001894,GO:0001895,GO:0001947,GO:0002009,GO:0003007,GO:0003143,GO:0003205,GO:0003230,GO:0003279,GO:0003283,GO:0003341,GO:0003351,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005929,GO:0006928,GO:0006996,GO:0007017,GO:0007018,GO:0007275,GO:0007368,GO:0007369,GO:0007389,GO:0007507,GO:0008150,GO:0009653,GO:0009790,GO:0009799,GO:0009855,GO:0009887,GO:0009888,GO:0009966,GO:0009968,GO:0009987,GO:0010646,GO:0010648,GO:0016043,GO:0022603,GO:0022607,GO:0023051,GO:0023057,GO:0030030,GO:0030031,GO:0030111,GO:0030178,GO:0030323,GO:0030324,GO:0031016,GO:0032501,GO:0032502,GO:0035050,GO:0035239,GO:0035295,GO:0035469,GO:0042592,GO:0042995,GO:0043226,GO:0044085,GO:0044424,GO:0044444,GO:0044464,GO:0044782,GO:0045494,GO:0045595,GO:0045596,GO:0045995,GO:0048496,GO:0048513,GO:0048519,GO:0048523,GO:0048562,GO:0048565,GO:0048568,GO:0048583,GO:0048585,GO:0048598,GO:0048729,GO:0048731,GO:0048732,GO:0048856,GO:0048871,GO:0050789,GO:0050793,GO:0050794,GO:0051093,GO:0051239,GO:0051960,GO:0055123,GO:0060026,GO:0060027,GO:0060249,GO:0060271,GO:0060287,GO:0060429,GO:0060541,GO:0060562,GO:0060828,GO:0060993,GO:0061008,GO:0061371,GO:0065007,GO:0065008,GO:0070925,GO:0071840,GO:0071907,GO:0071908,GO:0071909,GO:0071910,GO:0072001,GO:0072189,GO:0072359,GO:0090090,GO:0090175,GO:0090178,GO:0120025,GO:0120031,GO:0120036,GO:1905276,GO:1905330,GO:2000026,GO:2000027,GO:2000050,GO:2000095,GO:2000167	-	-	-	-	-	-	-	-	-	-	TPR_10,TPR_12,TPR_7,TPR_8
43_t	3750.XP_008374893.1	7.56e-180	533.0	KOG0892@1|root,KOG0892@2759|Eukaryota,37MQN@33090|Viridiplantae,3GBXV@35493|Streptophyta,4JF3U@91835|fabids	35493|Streptophyta	BDLT	Serine threonine-protein kinase	-	-	2.7.11.1	ko:K04728	ko01524,ko03440,ko04064,ko04068,ko04110,ko04115,ko04210,ko04214,ko04218,ko05165,ko05166,ko05202,ko05206,map01524,map03440,map04064,map04068,map04110,map04115,map04210,map04214,map04218,map05165,map05166,map05202,map05206	M00295,M00691	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko03032,ko03400	-	-	-	FAT,FATC,PI3_PI4_kinase,PWWP
44_t	981085.XP_010106994.1	5.44e-12	73.9	COG1643@1|root,COG2801@1|root,KOG0017@2759|Eukaryota,KOG0920@2759|Eukaryota,37Q5J@33090|Viridiplantae,3GGJI@35493|Streptophyta,4JJJQ@91835|fabids	35493|Streptophyta	A	ATP-dependent RNA helicase	-	GO:0000976,GO:0000977,GO:0000978,GO:0000987,GO:0001012,GO:0001067,GO:0001503,GO:0001817,GO:0001819,GO:0002151,GO:0002791,GO:0002793,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003697,GO:0003723,GO:0003724,GO:0003725,GO:0003824,GO:0004004,GO:0004386,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005739,GO:0005829,GO:0006139,GO:0006355,GO:0006357,GO:0006396,GO:0006725,GO:0006807,GO:0008026,GO:0008094,GO:0008150,GO:0008152,GO:0008186,GO:0009889,GO:0009891,GO:0009892,GO:0009893,GO:0009894,GO:0009895,GO:0009987,GO:0010467,GO:0010468,GO:0010501,GO:0010556,GO:0010557,GO:0010604,GO:0010605,GO:0010608,GO:0010628,GO:0010638,GO:0016070,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019219,GO:0019222,GO:0019899,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031328,GO:0031329,GO:0031330,GO:0032204,GO:0032206,GO:0032479,GO:0032481,GO:0032501,GO:0032647,GO:0032727,GO:0032879,GO:0032880,GO:0033043,GO:0033044,GO:0034641,GO:0042623,GO:0042826,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043487,GO:0043489,GO:0043565,GO:0044212,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0045893,GO:0045934,GO:0045935,GO:0045944,GO:0046483,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050707,GO:0050708,GO:0050714,GO:0050715,GO:0050789,GO:0050794,GO:0051046,GO:0051047,GO:0051049,GO:0051050,GO:0051052,GO:0051054,GO:0051128,GO:0051130,GO:0051171,GO:0051172,GO:0051173,GO:0051222,GO:0051223,GO:0051239,GO:0051240,GO:0051252,GO:0051253,GO:0051254,GO:0051880,GO:0060255,GO:0065007,GO:0065008,GO:0070034,GO:0070035,GO:0070201,GO:0071704,GO:0080090,GO:0090087,GO:0090304,GO:0090669,GO:0097159,GO:0140098,GO:1901360,GO:1901363,GO:1902369,GO:1902680,GO:1902739,GO:1902741,GO:1903506,GO:1903508,GO:1903530,GO:1903532,GO:1904951,GO:1990837,GO:2000112,GO:2001141,GO:2001252	3.6.4.13	ko:K14442,ko:K21843	ko03018,map03018	-	-	-	ko00000,ko00001,ko01000,ko03019,ko04131	-	-	-	DEAD,HA2,Helicase_C,OB_NTP_bind
45_t	3760.EMJ11637	4.65e-251	746.0	KOG0892@1|root,KOG0892@2759|Eukaryota,37MQN@33090|Viridiplantae,3GBXV@35493|Streptophyta,4JF3U@91835|fabids	35493|Streptophyta	BDLT	Serine threonine-protein kinase	-	-	2.7.11.1	ko:K04728	ko01524,ko03440,ko04064,ko04068,ko04110,ko04115,ko04210,ko04214,ko04218,ko05165,ko05166,ko05202,ko05206,map01524,map03440,map04064,map04068,map04110,map04115,map04210,map04214,map04218,map05165,map05166,map05202,map05206	M00295,M00691	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko03032,ko03400	-	-	-	FAT,FATC,PI3_PI4_kinase,PWWP
46_t	3827.XP_004514121.1	6e-160	500.0	COG2801@1|root,KOG0017@2759|Eukaryota,37RIF@33090|Viridiplantae,3G9AM@35493|Streptophyta,4JTRP@91835|fabids	35493|Streptophyta	L	cysteine-rich RLK (RECEPTOR-like protein kinase) 8	-	-	-	-	-	-	-	-	-	-	-	-	RVT_2,Retrotran_gag_2,Retrotran_gag_3,Retrotrans_gag,gag_pre-integrs,rve
47_t	3641.EOY20730	0.0	1148.0	KOG0892@1|root,KOG0892@2759|Eukaryota,37MQN@33090|Viridiplantae,3GBXV@35493|Streptophyta	35493|Streptophyta	BDLT	serine threonine-protein kinase	-	-	2.7.11.1	ko:K04728	ko01524,ko03440,ko04064,ko04068,ko04110,ko04115,ko04210,ko04214,ko04218,ko05165,ko05166,ko05202,ko05206,map01524,map03440,map04064,map04068,map04110,map04115,map04210,map04214,map04218,map05165,map05166,map05202,map05206	M00295,M00691	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko03032,ko03400	-	-	-	FAT,FATC,PI3_PI4_kinase,PWWP
48_t	3641.EOX99943	3.25e-100	327.0	COG2801@1|root,KOG0017@2759|Eukaryota,37RIF@33090|Viridiplantae,3G9AM@35493|Streptophyta	35493|Streptophyta	K	cysteine-rich RLK (RECEPTOR-like protein kinase) 8	-	-	-	-	-	-	-	-	-	-	-	-	RVT_2,Retrotran_gag_2,Retrotran_gag_3,Retrotrans_gag,gag_pre-integrs,rve
49_t	3641.EOY20730	0.0	2192.0	KOG0892@1|root,KOG0892@2759|Eukaryota,37MQN@33090|Viridiplantae,3GBXV@35493|Streptophyta	35493|Streptophyta	BDLT	serine threonine-protein kinase	-	-	2.7.11.1	ko:K04728	ko01524,ko03440,ko04064,ko04068,ko04110,ko04115,ko04210,ko04214,ko04218,ko05165,ko05166,ko05202,ko05206,map01524,map03440,map04064,map04068,map04110,map04115,map04210,map04214,map04218,map05165,map05166,map05202,map05206	M00295,M00691	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko03032,ko03400	-	-	-	FAT,FATC,PI3_PI4_kinase,PWWP
50_t	3641.EOY20732	8.48e-162	468.0	28K3S@1|root,2QUGD@2759|Eukaryota,37IAF@33090|Viridiplantae,3G93R@35493|Streptophyta	35493|Streptophyta	K	dof zinc finger protein	-	GO:0000003,GO:0003006,GO:0003674,GO:0003700,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0007275,GO:0008150,GO:0009790,GO:0009791,GO:0009793,GO:0009888,GO:0009889,GO:0009891,GO:0009893,GO:0010065,GO:0010067,GO:0010087,GO:0010154,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0019219,GO:0019222,GO:0022414,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032501,GO:0032502,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0045893,GO:0045935,GO:0048316,GO:0048507,GO:0048508,GO:0048518,GO:0048522,GO:0048608,GO:0048731,GO:0048856,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0061458,GO:0065007,GO:0080090,GO:0140110,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2001141	-	-	-	-	-	-	-	-	-	-	zf-Dof
52_t	29730.Gorai.006G189400.1	0.0	1745.0	KOG1041@1|root,KOG1041@2759|Eukaryota,37MK8@33090|Viridiplantae,3GBB2@35493|Streptophyta	35493|Streptophyta	J	Belongs to the argonaute family	-	GO:0002252,GO:0002376,GO:0003002,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003824,GO:0004518,GO:0004519,GO:0004521,GO:0004540,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0006139,GO:0006725,GO:0006807,GO:0006950,GO:0006952,GO:0006955,GO:0007275,GO:0007389,GO:0008150,GO:0008152,GO:0009314,GO:0009416,GO:0009605,GO:0009607,GO:0009615,GO:0009616,GO:0009628,GO:0009639,GO:0009653,GO:0009719,GO:0009725,GO:0009733,GO:0009850,GO:0009892,GO:0009954,GO:0009955,GO:0009965,GO:0009987,GO:0010016,GO:0010033,GO:0010051,GO:0010218,GO:0010305,GO:0010468,GO:0010589,GO:0010605,GO:0010608,GO:0010629,GO:0010817,GO:0016070,GO:0016441,GO:0016458,GO:0016787,GO:0016788,GO:0019222,GO:0022622,GO:0030154,GO:0031047,GO:0032501,GO:0032502,GO:0034641,GO:0035194,GO:0035195,GO:0035198,GO:0035821,GO:0040029,GO:0042221,GO:0042445,GO:0043170,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044003,GO:0044237,GO:0044238,GO:0044403,GO:0044419,GO:0044424,GO:0044444,GO:0044464,GO:0045087,GO:0046483,GO:0048364,GO:0048366,GO:0048367,GO:0048468,GO:0048519,GO:0048731,GO:0048827,GO:0048830,GO:0048856,GO:0048863,GO:0048864,GO:0048869,GO:0050789,GO:0050896,GO:0051607,GO:0051701,GO:0051704,GO:0051707,GO:0051817,GO:0052018,GO:0052249,GO:0060145,GO:0060255,GO:0061980,GO:0065007,GO:0065008,GO:0071704,GO:0090304,GO:0090305,GO:0090501,GO:0090502,GO:0097159,GO:0098542,GO:0098586,GO:0099402,GO:0140098,GO:1901360,GO:1901363,GO:1905392	-	ko:K11593	-	-	-	-	ko00000,ko03019,ko03036	-	-	-	ArgoL1,ArgoL2,ArgoMid,ArgoN,Gly-rich_Ago1,PAZ,Piwi
